Year,Observed_flow,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30,Ensemble_31,Ensemble_32,Ensemble_33,Ensemble_34,Ensemble_35,Ensemble_36,Ensemble_37,Ensemble_38,Ensemble_39,Ensemble_40,Ensemble_41,Ensemble_42,Ensemble_43,Ensemble_44,Ensemble_45,Ensemble_46,Ensemble_47,Ensemble_48,Ensemble_49,Ensemble_50,Ensemble_51
1985,1.735333333,2.090358776,2.336606347,2.008736854,1.799093963,2.074081979,1.89685705,1.859692525,2.264469848,2.116095825,2.087932401,2.038525865,2.125774054,1.867295359,2.547864849,2.005202625,1.848436014,2.022570374,2.004869567,1.908341187,1.919132205,1.892760248,2.077519333,2.11909204,2.30077604,2.28050408,1.873948689,2.011486088,2.801217662,1.875708788,2.409738172,2.521160493,2.123352917,2.076032127,1.786450451,2.774172154,2.620148162,1.927152828,2.032956048,1.868943274,2.172128216,2.195752541,1.861143534,1.875025351,2.348928979,2.553157091,1.912314851,1.996416477,2.442897987,2.052111676,1.854333575,3.310739449
1986,2.338333333,2.258670596,2.496733498,2.178670195,1.969279307,2.235707454,2.069173621,2.030051081,2.42962285,2.279031468,2.248202482,2.204927376,2.289849358,2.039220729,2.710308516,2.169288964,2.020169277,2.187417001,2.173416414,2.081190816,2.09251361,2.065553616,2.243451703,2.286889124,2.462446976,2.00260278,2.046180529,2.184120341,2.968719049,2.048197581,2.571528041,2.684651887,2.289445972,2.241864819,1.956357354,2.946009736,2.777597865,2.100303383,2.202161548,2.038013756,2.339418077,2.359559505,2.033160337,2.04738488,2.505478996,2.712993557,2.078353892,2.164225738,2.600318682,2.222069994,2.0258588,3.475156278
1987,2.267666667,2.793579202,3.044189603,2.687490832,2.421651279,2.737133795,2.544337203,2.497231902,2.998953581,2.792214934,2.755780457,2.699491278,2.810523312,2.511042265,3.328624683,2.652653362,2.483926153,2.68929632,2.669960241,2.56500012,2.577305488,2.544160734,2.777074525,2.828404734,3.022230783,2.46074272,2.978597679,2.700594702,3.633623909,2.521233556,3.160879326,3.297412987,2.796853852,2.774955044,2.404811984,3.615551595,3.387249204,2.589159935,2.718413081,2.505503588,2.870228929,2.908274704,2.502374985,2.520696747,3.076976703,3.31002731,2.551524853,2.662543508,3.189882343,2.7424119,2.494318671,4.21819337
1988,2.052,1.925174575,2.149853702,1.855748311,1.691395822,1.919523628,1.76608828,1.742312826,2.07498326,1.954869772,1.92791633,1.895712539,1.963129071,1.75028323,2.325393272,1.865064007,1.730886196,1.872139072,1.862112869,1.786137772,1.789776245,1.772843294,1.91483636,1.951407446,2.100046356,1.719693648,2.056475707,1.723316141,2.541853769,1.756914209,2.211090601,2.295913149,1.969257647,1.921333205,1.680629921,2.517193511,2.381683336,1.79503249,1.876160275,1.749286537,1.989813529,2.024059194,1.744868971,1.756592268,2.149417819,2.339230861,1.78382072,1.854715404,2.237471569,1.892412467,1.739237062,2.994207408
1989,0.982966667,1.229095891,1.40667446,1.185555153,1.097765321,1.247176349,1.140611091,1.127828207,1.318635404,1.266549073,1.248895489,1.235674533,1.267518842,1.131589671,1.493117613,1.217704563,1.120546452,1.209150669,1.203599302,1.15232333,1.154262773,1.144980037,1.223659951,1.237983198,1.342474297,1.116041426,1.299788017,1.116055832,1.321131932,1.135413198,1.430076232,1.463812488,1.28826364,1.231282438,1.091819439,1.589725473,1.540878594,1.157094484,1.198939491,1.133275935,1.27186638,1.302414689,1.128603761,1.135067705,1.390877041,1.535056077,1.156628604,1.197218869,1.454340692,1.205468169,1.125210014,1.945453401
1990,1.221666667,1.235890131,1.452520425,1.183572529,1.067664407,1.266093139,1.120424725,1.106998409,1.357373129,1.29157145,1.273262,1.239522114,1.290909453,1.111809058,1.56180877,1.222674566,1.094397295,1.221374588,1.204938141,1.132034118,1.13614507,1.119942027,1.22931827,1.254231215,1.401704211,1.095745672,1.338869502,1.088836693,1.369612498,1.109064162,1.478876008,1.539474001,1.300322816,1.240030259,1.06090414,1.702106168,1.631990055,1.136532818,1.200657394,1.115610218,1.30444329,1.329440033,1.102146642,1.109563299,1.443503159,1.599212992,1.15050847,1.199806183,1.512129881,1.2096434,1.098614315,2.101305055
1991,1.0346,0.570782064,0.67970777,0.558366586,0.51574978,0.589425458,0.534314882,0.527736242,0.621087495,0.596425667,0.586854867,0.588511638,0.592767853,0.528229626,0.718834749,0.580960487,0.524826677,0.565149194,0.563233212,0.535867711,0.537717183,0.53328325,0.56686135,0.580871569,0.6459796,0.524340962,0.614154394,0.522709985,0.630373877,0.529355502,0.555301367,0.705516094,0.619839837,0.570472556,0.513695769,0.778991613,0.764035903,0.538994749,0.563402967,0.531325183,0.609919101,0.608310406,0.527166835,0.529393607,0.663960884,0.751192004,0.543122328,0.55828412,0.700065255,0.567801867,0.52582054,0.991830256
1992,0.797733333,0.791075242,0.942944265,0.764605451,0.712127426,0.822185911,0.737677478,0.7318824,0.859441448,0.83410668,0.821622991,0.815051962,0.830981828,0.73241599,0.992688368,0.804365613,0.725753031,0.790087996,0.78483895,0.744886721,0.746267413,0.740584991,0.790096554,0.799898729,0.882766223,0.725968163,0.843212044,0.723026291,0.861366402,0.734320438,0.775355874,1.080010449,0.855833264,0.799135944,0.708667858,1.055052177,1.038303196,0.747503326,0.773885406,0.73683513,0.829625513,0.853144479,0.730627808,0.734385237,0.925100632,1.037663108,0.754968572,0.779921739,0.973173922,0.776740786,0.728562237,1.331463679
1993,3.849666667,3.681730286,3.955617006,3.544554497,3.25841023,3.619905166,3.398974274,3.352301076,3.88589446,3.689580281,3.651382955,3.576303409,3.711408182,3.369569905,4.252280377,3.515288342,3.332168296,3.582055127,3.556394831,3.436341447,3.443415357,3.410245796,3.663832233,3.703828907,3.919656072,3.303600093,3.862732307,3.318549484,3.898270173,3.380173529,3.590644789,4.580272519,3.381496214,3.657892499,3.237242389,4.557209808,4.29178451,3.453638963,3.583864427,3.359375304,3.743685225,3.80847867,3.358650613,3.381604329,3.977556399,4.250291728,3.410374299,3.555085043,4.10628771,3.606573485,3.348815289,5.235098819
1994,3.536666667,2.747919799,3.014012184,2.645697604,2.413928146,2.718901597,2.524258068,2.487275678,2.941714682,2.77209441,2.736054813,2.683652892,2.787509626,2.500627291,3.262906672,2.63795749,2.471716488,2.671115237,2.652425377,2.553003188,2.558483142,2.532877907,2.732219426,2.777901526,2.969482062,2.45159439,2.922136677,2.460894465,2.960641114,2.508950319,2.67439695,3.561886701,2.510112011,3.11121134,2.397647374,3.546044905,3.318912414,2.566422619,2.6754094,2.495020077,2.827676368,2.870717361,2.492311733,2.510002905,3.024742027,3.261712916,2.539245047,2.646277973,3.137630498,2.698270987,2.484404641,4.134305396
